,wikidata_id,label,birth_date,birthplace,birthplace_coordinate,death_date,page_url,page_id
0,Q239505,Shivaji Bhonsle I,1627-03-01T00:00:00Z,Shivneri,Point(73.85900088 19.19664276),1680-04-13T00:00:00Z,https://en.wikipedia.org/wiki/Shivaji,149337.0
1,Q129987,William III,1650-11-14T00:00:00Z,Binnenhof,Point(4.313375 52.079639),1702-03-19T00:00:00Z,https://en.wikipedia.org/wiki/William III of England,47387.0
2,Q318362,Johan de Witt,1625-09-24T00:00:00Z,Dordrecht,Point(4.67 51.81),1672-08-20T00:00:00Z,https://en.wikipedia.org/wiki/Johan de Witt,749956.0
3,Q249292,Cornelis de Witt,1623-06-15T00:00:00Z,Dordrecht,Point(4.67 51.81),1672-08-20T00:00:00Z,https://en.wikipedia.org/wiki/Cornelis de Witt,1422596.0
