,wikidata_id,label,birth_date,birthplace,birthplace_coordinate,death_date,page_url,page_id
0,Q7791801,Thomas Leighton,1554-01-01T00:00:00Z,,,1600-05-17T00:00:00Z,https://en.wikipedia.org/wiki/Thomas Leighton (died 1600),36943666
1,Q7791801,Thomas Leighton,1554-01-01T00:00:00Z,,,1600-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Thomas Leighton (died 1600),36943666
2,Q2262449,Fulvio Orsini,1529-12-21T00:00:00Z,Rome,Point(12.482777777 41.893055555),1600-05-18T00:00:00Z,https://en.wikipedia.org/wiki/Fulvio Orsini,8467752
3,Q67719,Edward Fortunatus,1565-09-27T00:00:00Z,London,Point(-0.1275 51.507222222),1600-06-08T00:00:00Z,https://en.wikipedia.org/wiki/Edward Fortunatus,21195350
4,Q2085325,Juan Grande,1546-03-06T00:00:00Z,Carmona,Point(-5.642222222 37.471111111),1600-06-03T00:00:00Z,https://en.wikipedia.org/wiki/Juan Grande Román,46771289
5,Q5112711,Christopher Layer,1531-01-01T00:00:00Z,,,1600-06-19T00:00:00Z,https://en.wikipedia.org/wiki/Christopher Layer (merchant),36288088
6,Q860214,Abe Masakatsu,1541-07-04T00:00:00Z,,,1600-05-19T00:00:00Z,https://en.wikipedia.org/wiki/Abe Masakatsu,352132
7,Q782556,Nicolaus Olai Bothniensis,1550-01-01T00:00:00Z,Piteå,Point(21.451128967 65.319716512),1600-05-18T00:00:00Z,https://en.wikipedia.org/wiki/Nicolaus Olai Bothniensis,1779161
8,Q65468,David Chytraeus,1531-01-01T00:00:00Z,Ingelfingen,Point(9.65 49.3),1600-06-25T00:00:00Z,https://en.wikipedia.org/wiki/David Chytraeus,14450726
