,wikidata_id,label,birth_date,birthplace,birthplace_coordinate,death_date,page_url,page_id
0,Q599058,Jan Joosten van Lodensteijn,1556-01-01T00:00:00Z,Delft,Point(4.359444444 52.011944444),1623-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Jan Joosten van Lodensteijn,2611830.0
1,Q118755,Michael the Brave,1558-01-01T00:00:00Z,Oraşul de Floci,Point(27.98528 44.76361),1601-08-19T00:00:00Z,https://en.wikipedia.org/wiki/Michael the Brave,2468688.0
2,Q973176,Sebald de Weert,1567-05-02T00:00:00Z,Antwerp,Point(4.399722222 51.221111111),1603-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Sebald de Weert,2814687.0
3,Q52940,Sigismund III Vasa,1566-06-20T00:00:00Z,Gripsholm Castle,Point(17.219167 59.256111),1632-04-19T00:00:00Z,https://en.wikipedia.org/wiki/Sigismund III Vasa,52608.0
4,Q1267438,Melchior van Santvoort,1570-01-01T00:00:00Z,Dutch Republic,Point(4.3 52.08),1641-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Melchior van Santvoort,2619064.0
5,Q2779673,Jacob Quaeckernaeck,1501-01-01T00:00:00Z,Rotterdam,Point(4.47917 51.9225),1606-09-21T00:00:00Z,https://en.wikipedia.org/wiki/Jacob Quaeckernaeck,2618996.0
6,Q36330,Giordano Bruno,1548-01-01T00:00:00Z,Nola,Point(14.533333333 40.933333333),1600-02-17T00:00:00Z,https://en.wikipedia.org/wiki/Giordano Bruno,12963.0
