,wikidata_id,label,birth_date,birthplace,birthplace_coordinate,death_date,page_url,page_id
0,Q16257468,"Sir Richard Grenville, 1st Baronet",1600-01-01T00:00:00Z,"Stowe House, Kilkhampton",Point(-4.54 50.8729),1658-01-01T00:00:00Z,"https://en.wikipedia.org/wiki/Sir Richard Grenville, 1st Baronet",297252
1,Q7614002,"Thomas Hamilton, 2nd Earl of Haddington",1600-01-01T00:00:00Z,,,1640-01-01T00:00:00Z,"https://en.wikipedia.org/wiki/Thomas Hamilton, 2nd Earl of Haddington",36098042
2,Q835772,Xiaoduanwen,1600-05-13T00:00:00Z,,,1649-05-17T00:00:00Z,https://en.wikipedia.org/wiki/Empress Xiaoduanwen,1715855
3,Q3847417,Maria Maddalena de' Medici,1600-06-29T00:00:00Z,Florence,Point(11.254166666 43.771388888),1633-12-28T00:00:00Z,https://en.wikipedia.org/wiki/Maria Maddalena de' Medici,14378707
4,Q3158438,Jacques Buteux,1600-04-11T00:00:00Z,Abbeville,Point(1.835277777 50.105277777),1652-05-10T00:00:00Z,https://en.wikipedia.org/wiki/Jacques Buteux,8308921
5,Q825015,Duke John William of Saxe-Altenburg,1600-04-13T00:00:00Z,Torgau,Point(13.005555555 51.560277777),1632-12-02T00:00:00Z,https://en.wikipedia.org/wiki/Duke Johann Wilhelm of Saxe-Altenburg,33053884
6,Q2448974,Juan de Palafox y Mendoza,1600-06-26T00:00:00Z,Fitero,Point(-1.857222222 42.058055555),1659-10-01T00:00:00Z,https://en.wikipedia.org/wiki/Juan de Palafox y Mendoza,2116306
7,Q3608758,Alessandro dal Borro,1600-04-22T00:00:00Z,Arezzo,Point(11.878055555 43.463055555),1656-12-02T00:00:00Z,https://en.wikipedia.org/wiki/Alessandro dal Borro,33818256
