,wikidata_id,label,birth_date,birthplace,birthplace_coordinate,death_date,page_url,page_id
0,Q2599807,Anna Alojza Ostrogska,1600-03-25T00:00:00Z,Jarosław,Point(22.67776 50.01623),1654-01-24T00:00:00Z,https://en.wikipedia.org/wiki/Anna Alojza Ostrogska,1426477
1,Q913203,Brian Walton,1600-01-01T00:00:00Z,Yorkshire,Point(-1.083333333 53.958333333),1661-11-29T00:00:00Z,https://en.wikipedia.org/wiki/Brian Walton (bishop),197255
2,Q4020129,William Prynne,1600-01-01T00:00:00Z,Swainswick,Point(-2.3514 51.4122),1669-11-03T00:00:00Z,https://en.wikipedia.org/wiki/William Prynne,210131
3,Q646986,Marin le Roy de Gomberville,1600-01-01T00:00:00Z,Paris,Point(2.351388888 48.856944444),1674-06-14T00:00:00Z,https://en.wikipedia.org/wiki/Marin le Roy de Gomberville,625489
