,wikidata_id,label,birth_date,birthplace,birthplace_coordinate,death_date,page_url,page_id
0,Q2097515,Samuel Rutherford,1600-01-01T00:00:00Z,Nisbet,Point(-2.51667 55.5167),1661-03-29T00:00:00Z,https://en.wikipedia.org/wiki/Samuel Rutherford,1241778.0
1,Q3040890,Dud Dudley,1600-01-01T00:00:00Z,Birmingham,Point(-1.9025 52.48),1684-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Dud Dudley,715985.0
2,Q71033,Samuel Hartlib,1600-01-01T00:00:00Z,Elbląg,Point(19.4 54.166666666),1662-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Samuel Hartlib,457669.0
3,Q214074,Claude Lorrain,1600-01-01T00:00:00Z,Chamagne,Point(6.28 48.408333333),1682-11-23T00:00:00Z,https://en.wikipedia.org/wiki/Claude Lorrain,81669.0
4,Q7190238,Piaras Feiritéar,1600-01-01T00:00:00Z,,,1653-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Piaras Feiritéar,787868.0
5,Q1702920,Jonas Bronck,1600-01-01T00:00:00Z,Komstad,Point(14.613941 57.403127),1643-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Jonas Bronck,980565.0
6,Q3295850,Martine Bertereau,1590-01-01T00:00:00Z,Touraine,Point(0.683333333 47.4),1642-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Martine Bertereau,30914824.0
