,wikidata_id,label,birth_date,birthplace,birthplace_coordinate,death_date,page_url,page_id
0,Q130812,Mary II of England,1662-05-10T00:00:00Z,St James's Palace,Point(-0.13771 51.5046),1695-01-07T00:00:00Z,https://en.wikipedia.org/wiki/Mary II of England,20709.0
1,Q456882,Henry Every,1659-08-23T00:00:00Z,Newton Ferrers,Point(-4.03333 50.3167),1699-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Henry Every,3439075.0
2,Q310720,Thomas Savery,1650-01-01T00:00:00Z,Modbury,Point(-3.886897222 50.349111111),1715-05-01T00:00:00Z,https://en.wikipedia.org/wiki/Thomas Savery,81860.0
3,Q312967,Guru Gobind Singh,1666-12-22T00:00:00Z,Patna,Point(85.141388888 25.61),1708-10-07T00:00:00Z,https://en.wikipedia.org/wiki/Guru Gobind Singh,518562.0
