,wikidata_id,label,birth_date,birthplace,birthplace_coordinate,death_date,page_url,page_id
0,Q307,Galileo Galilei,1564-02-25T00:00:00Z,Pisa,Point(10.4 43.716666666),1642-01-08T00:00:00Z,https://en.wikipedia.org/wiki/Galileo Galilei,29688374.0
1,Q9191,René Descartes,1596-03-31T00:00:00Z,Descartes,Point(0.697777777 46.973611111),1650-02-11T00:00:00Z,https://en.wikipedia.org/wiki/René Descartes,25525.0
2,Q131579,Urban VIII,1568-04-15T00:00:00Z,Florence,Point(11.254166666 43.771388888),1644-07-29T00:00:00Z,https://en.wikipedia.org/wiki/Pope Urban VIII,24308.0
3,Q4689383,Afonso Mendes,1579-06-28T00:00:00Z,Santo Aleixo da Restauração,Point(-7.15 38.066666666),1659-06-21T00:00:00Z,https://en.wikipedia.org/wiki/Afonso Mendes,35894011.0
