,wikidata_id,label,birth_date,birthplace,birthplace_coordinate,death_date,page_url,page_id
0,Q311187,Francesco Redi,1626-02-18T00:00:00Z,Arezzo,Point(11.878055555 43.463055555),1697-03-01T00:00:00Z,https://en.wikipedia.org/wiki/Francesco Redi,140757.0
1,Q83672,Shah Jahan,1592-01-05T00:00:00Z,Lahore Fort,Point(74.309722222 31.590277777),1666-01-22T00:00:00Z,https://en.wikipedia.org/wiki/Shah Jahan,28752.0
2,Q83672,Shah Jahan,1592-01-05T00:00:00Z,Lahore,Point(74.343611111 31.549722222),1666-01-22T00:00:00Z,https://en.wikipedia.org/wiki/Shah Jahan,28752.0
3,Q83672,Shah Jahan,1592-01-05T00:00:00Z,Walled City of Lahore,Point(74.317 31.584),1666-01-22T00:00:00Z,https://en.wikipedia.org/wiki/Shah Jahan,28752.0
4,Q485547,Aurangzeb,1618-11-03T00:00:00Z,Morbi,Point(70.833333333 22.816666666),1707-03-03T00:00:00Z,https://en.wikipedia.org/wiki/Aurangzeb,2425.0
